zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,total_reviews,availability_365
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.5,258,-97.73988,30.25716,18,320
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.58,257,-97.73773,30.25719,19,335
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.85,255,-97.73825,30.25753,26,319
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.82,254,-97.73964,30.25555,28,336
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.36,253,-97.73825,30.25556,14,351
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,5.0,250,-97.73782,30.25615,9,349
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.88,248,-97.73943,30.2556,24,289
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.67,246,-97.73858,30.2576,15,333
78701,Rainey Street Historic District,Entire condo,Entire home/apt,6,2,3,1,4.82,246,-97.73763,30.25594,11,341
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,5.0,245,-97.73828,30.25759,12,349
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.78,245,-97.73779,30.25562,27,311
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.92,245,-97.73804,30.25694,26,297
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.75,244,-97.73851,30.25529,8,362
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.2,244,-97.73764,30.25622,5,336
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.84,242,-97.73966,30.25756,31,309
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.81,242,-97.73799,30.25731,31,314
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.46,240,-97.73944,30.25543,13,351
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.69,238,-97.73778,30.25608,13,317
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.83,237,-97.73767,30.25552,6,341
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.6,236,-97.73949,30.25567,5,358
78701,Rainey Street Historic District,Entire condo,Entire home/apt,4,1,2,1,4.78,235,-97.73817,30.25717,9,341
78701,Rainey Street Historic District,Entire condo,Entire home/apt,2,1,1,1,4.63,224,-97.74,30.25563,27,303
78701,Rainey Street Historic District,Entire condo,Entire home/apt,2,1,1,1,4.83,224,-97.73941,30.25728,35,233
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.77,223,-97.73985,30.256,39,298
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,1,4.81,222,-97.73802,30.25724,27,301
78701,Rainey Street Historic District,Entire rental unit,Entire home/apt,2,1,1,2,4.63,222,-97.73816,30.25534,16,337
