id,host_id,zip_code,neighborhood,property_type,room_type,accommodates,bedrooms,beds,minimum_nights,rating,price,longitude,latitude,availability_365
837676371591191413,10946910,78744,Southeast Austin,Entire home,Entire home/apt,4,2.0,2.0,3,5.0,193,-97.73507585491906,30.195981352976315,167
23608573,10953800,78704,South Lamar,Entire rental unit,Entire home/apt,6,2.0,3.0,2,5.0,350,-97.78713,30.24005,0
48468636,10954890,78757,Brentwood,Entire guesthouse,Entire home/apt,4,2.0,2.0,2,5.0,145,-97.72925,30.33188,148
700125091539298214,10955594,78704,Zilker,Entire home,Entire home/apt,7,4.0,4.0,2,5.0,948,-97.76625,30.25681,58
796778937302197028,10972776,78745,South Austin,Private room in home,Private room,2,1.0,1.0,1,5.0,59,-97.8226525336504,30.19129413937791,357
21267121,10981379,78701,Kingsbury,Entire condo,Entire home/apt,6,2.0,3.0,1,5.0,324,-97.7474,30.27162,56
21280278,11000410,78756,Allendale,Entire bungalow,Entire home/apt,4,1.0,2.0,3,4.91,229,-97.74272,30.32173,66
23629845,11004536,78704,St. Edwards,Private room in rental unit,Private room,6,1.0,4.0,5,1.0,125,-97.75672,30.22424,0
43651053,11018558,78729,Anderson Mill Village South,Private room in home,Private room,2,1.0,1.0,1,4.85,79,-97.78475,30.45973,364
11719566,11019119,78751,Hancock,Private room in rental unit,Private room,1,1.0,1.0,7,4.93,30,-97.71649,30.3052,0
564544517548854536,11040369,78704,Zilker,Entire home,Entire home/apt,8,3.0,4.0,3,4.9,1096,-97.76418,30.25959,360
826161638504680205,11061879,78741,The Heights,Entire rental unit,Entire home/apt,4,1.0,1.0,1,4.93,179,-97.7200216901334,30.23085043086092,359
47509227,11063837,78704,Galindo,Entire home,Entire home/apt,6,1.0,3.0,2,4.83,85,-97.7683,30.23627,167
41593101,11063837,78704,Galindo,Entire home,Entire home/apt,7,2.0,2.0,2,5.0,80,-97.7677,30.23789,0
37255345,11063837,78704,Galindo,Entire guest suite,Entire home/apt,2,1.0,1.0,2,4.93,70,-97.76796,30.23795,157
8740559,11067414,78704,Travis Heights,Entire home,Entire home/apt,6,3.0,3.0,30,5.0,325,-97.73777,30.2432,321
8321562,11067414,78704,Travis Heights,Entire guesthouse,Entire home/apt,2,1.0,1.0,30,4.98,122,-97.73783,30.24142,222
784656214130870534,11085764,78725,Knollwood On The Colorado River,Entire home,Entire home/apt,6,3.0,3.0,3,5.0,200,-97.66562,30.25929,19
49805835,11100436,78746,Countryside,Entire home,Entire home/apt,6,3.0,4.0,4,5.0,300,-97.80833,30.26313,0
50286161,11121716,78758,North Austin Civic Association,Entire home,Entire home/apt,8,3.0,5.0,3,4.86,1495,-97.70393,30.36212,96
33195107,11130952,78758,"North Burnet, Wooten",Private room in townhouse,Private room,2,1.0,1.0,1,5.0,34,-97.69846,30.37067,0
13828639,11135395,78751,North Loop,Entire rental unit,Entire home/apt,2,1.0,1.0,2,4.9,130,-97.73581,30.3136,0
2187256,11152728,78702,Rosewood,Private room in home,Private room,4,1.0,2.0,2,4.96,95,-97.70499,30.278,0
2350566,11152728,78702,Rosewood,Private room in home,Private room,2,1.0,1.0,2,5.0,85,-97.71223,30.27395,0
11177374,11152728,78702,Rosewood,Entire home,Entire home/apt,10,4.0,5.0,2,5.0,1500,-97.70649,30.27766,0
10614407,11162776,78757,Crestview,Entire rental unit,Entire home/apt,3,1.0,1.0,2,4.38,78,-97.71851,30.33881,0
2189688,11167488,78702,East Downtown,Entire condo,Entire home/apt,4,1.0,2.0,6,5.0,419,-97.72919,30.25956,363
23609672,11177619,78721,MLK & 183,Private room in home,Private room,2,1.0,1.0,1,5.0,80,-97.68411,30.27264,0
23713736,11177619,78721,MLK & 183,Private room in home,Private room,2,1.0,2.0,1,4.93,80,-97.68234,30.27295,0
54021221,11184112,78722,Cherrywood,Entire guest suite,Entire home/apt,2,1.0,1.0,3,4.96,177,-97.71685,30.2903,100
24250004,11186022,78701,Downtown,Private room in resort,Private room,8,3.0,4.0,3,4.93,400,-97.74678,30.27264,0
23599872,11186022,78701,Downtown,Private room in resort,Private room,6,2.0,3.0,4,4.93,399,-97.74857,30.27231,0
52187041,11189590,78751,Central Austin,Entire guesthouse,Entire home/apt,2,1.0,1.0,2,4.97,166,-97.72259,30.2966,153
52752766,11210361,78747,"Onion Creek, Bluff Springs",Entire home,Entire home/apt,6,3.0,3.0,29,5.0,137,-97.77707,30.12402,100
653060170516224332,11211964,78745,South Austin,Entire townhouse,Entire home/apt,5,2.0,3.0,2,4.88,145,-97.7814,30.19451,151
2198635,11215879,78731,Northwest Hills,Entire condo,Entire home/apt,5,2.0,3.0,1,4.91,207,-97.75049,30.3499,308
7068629,11228624,78739,The Hielscher,Entire home,Entire home/apt,6,3.0,4.0,2,4.86,450,-97.90794,30.18908,17
677659514663079548,11232727,78725,Hornsby Glen,Entire home,Entire home/apt,8,3.0,3.0,2,5.0,1559,-97.63104,30.21694,202
41688983,11243030,78721,MLK & 183,Entire guesthouse,Entire home/apt,2,1.0,2.0,2,4.98,109,-97.6971,30.28213,344
844261608117114532,11244343,78701,Downtown Austin,Entire rental unit,Entire home/apt,5,2.0,2.0,3,4.93,550,-97.7416278,30.266411,361
49160345,11244707,78746,Woodhaven,Entire home,Entire home/apt,6,3.0,4.0,3,5.0,400,-97.81029,30.2711,70
51469380,11245746,78703,Central Austin,Entire home,Entire home/apt,8,5.0,5.0,5,4.93,450,-97.77028,30.30489,41
45092293,11245746,78705,Central Austin,Entire home,Entire home/apt,6,3.0,3.0,7,4.96,249,-97.72963,30.2917,91
45013337,11245746,78705,Central Austin,Entire guesthouse,Entire home/apt,2,1.0,1.0,20,5.0,122,-97.72959,30.29189,145
52267319,11245746,78705,Central Austin,Entire guesthouse,Entire home/apt,2,1.0,1.0,20,4.65,105,-97.72977,30.29184,227
50215624,11246156,78703,Westfield,Entire home,Entire home/apt,6,3.0,3.0,7,5.0,900,-97.77097,30.28652,364
734123654752367804,11247270,78745,South Austin,Private room in guest suite,Private room,1,1.0,1.0,30,4.93,39,-97.79575,30.20828,278
12482258,11258930,78746,"West Lake Hills, Lost Creek",Entire home,Entire home/apt,10,5.0,5.0,30,5.0,2643,-97.82567,30.31759,364
771892555908725000,11263898,78745,South Austin,Entire home,Entire home/apt,8,4.0,3.0,2,5.0,173,-97.7914,30.20029,126
7579394,11263914,78722,Upper Boggy Creek,Entire home,Entire home/apt,5,2.0,2.0,5,4.97,211,-97.71566,30.29581,124
2208270,11263914,78722,Upper Boggy Creek,Entire home,Entire home/apt,5,2.0,2.0,5,4.98,206,-97.71336,30.29395,121
7579302,11263914,78722,Upper Boggy Creek,Entire home,Entire home/apt,5,2.0,2.0,5,4.98,195,-97.71609,30.29401,129
43495663,11263914,78723,Upper Boggy Creek,Entire townhouse,Entire home/apt,5,3.0,3.0,30,5.0,160,-97.69859,30.29872,315
16858784,11268496,78702,East Downtown,Private room in home,Private room,2,1.0,2.0,2,4.67,40,-97.71524,30.26836,0
51100048,11271348,78704,Galindo,Entire home,Entire home/apt,8,3.0,4.0,1,4.91,510,-97.7661,30.2433,353
33556891,11291537,78745,Cherry Creek,Private room in home,Private room,2,1.0,1.0,3,5.0,34,-97.82463,30.20055,0
